Tipo Muert.;Zona;Subzona;Distrito;Circuito;Cod. Subcircu;Subcircuito;provincia;código de provincia;cantón;código de cantón;Coord. Y;Coord. X;Area del Hecho;Lugar;Tipo Lugar;Fecha Infracción;Hora Infracción;Arma;Tipo Arma;Presun. Motiva.;Presun. Motiva. Obser;Probable Causa M.;Edad;Med. Edad;Sexo;Género;Etnia;Estado Civil;Nacionalidad;Discapacidad;Prof Reg Civ;Instrucción;Antecedentes
ASESINATO;ZONA 5;LOS RIOS;BUENA FE;VALENCIA;12D06C10S01;VALENCIA 1;LOS RÍOS;12;VALENCIA;1211;-0,944370;-79,335450;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;19:45;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;50;A;HOMBRE;MASCULINO;MESTIZO/A;CASADO;ECUADOR;NINGUNA;EMPLEADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;PORTOVIEJO;EL FLORON;13D01C04S02;EL FLORON 2;MANABÍ;13;PORTOVIEJO;1301;-1,055340;-80,485060;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;23:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;PSICOLOGICA;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;SUR;GUASMO;09D01C01S01;GUASMO 1;GUAYAS;9;GUAYAQUIL;901;-2,283570;-79,877700;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;2:15;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;28;A;HOMBRE;MASCULINO;MESTIZO/A;NO DETERMINADO;NO DETERMINADO;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;QUEVEDO;DIVINO NIÑO;12D03C06S02;DIVINO NIÑO 2;LOS RÍOS;12;QUEVEDO;1205;-1,053170;-79,463790;URBANO;TERRENO BALDIO;PUBLICO;04/05/2024;13:30;ARMA DE FUEGO;REVOLVER            ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;31;A;HOMBRE;MASCULINO;MESTIZO/A;NO DETERMINADO;ECUADOR;NINGUNA;AGRICULTOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 1;SUCUMBIOS;LAGO AGRIO;LAS PALMERAS;21D02C04S02;LAS PALMERAS 2;SUCUMBÍOS;21;LAGO AGRIO;2101;0,093190;-76,895080;URBANO;CASA/VILLA;PRIVADO;04/05/2024;20:00;ARMA DE FUEGO;FUSIL               ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;35;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;JORNALERO;BASICA;SIN_DATO
ASESINATO;ZONA 6;CAÑAR;LA TRONCAL;TRONCAL NORTE;03D03C01S01;TRONCAL NORTE 1;CAÑAR;3;LA TRONCAL;304;-2,420400;-79,333030;URBANO;CASA/VILLA;PRIVADO;05/05/2024;2:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;34;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;JORNALERO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 6;CAÑAR;LA TRONCAL;TRONCAL NORTE;03D03C01S01;TRONCAL NORTE 1;CAÑAR;3;LA TRONCAL;304;-2,420400;-79,333030;URBANO;CASA/VILLA;PRIVADO;05/05/2024;2:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;25;A;MUJER;FEMENINO;MESTIZO/A;VIUDO;ECUADOR;NINGUNA;ESTUDIANTE;BASICA;SIN_DATO
ASESINATO;ZONA 6;CAÑAR;LA TRONCAL;TRONCAL NORTE;03D03C01S01;TRONCAL NORTE 1;CAÑAR;3;LA TRONCAL;304;-2,420400;-79,333030;URBANO;CASA/VILLA;PRIVADO;05/05/2024;2:03;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;BABAHOYO;BARREIROS;12D01C04S01;BARREIRO 1;LOS RÍOS;12;BABAHOYO;1201;-1,794790;-79,524060;URBANO;VIA PUBLICA;PUBLICO;04/05/2024;10:20;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;MECANICO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI CENTRO;21D04C02S02;SHUSHUFINDI CENTRO 2;SUCUMBÍOS;21;SHUSHUFINDI;2104;-0,181570;-76,615460;RURAL;VIA PUBLICA;PUBLICO;04/05/2024;21:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;33;A;HOMBRE;MASCULINO;NO DETERMINADO;NO DETERMINADO;NO DETERMINADO;NINGUNA;SIN_DATO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;DAULE;JUAN BAUTISTA AGUIRRE;09D19C02S01;JUAN BAUTISTA AGUIRRE 1;GUAYAS;9;DAULE;906;-1,861020;-79,970710;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;2:10;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;32;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;MECANICO AUTOMOTRIZ;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;SANTA ELENA;SANTA ELENA;SAN PABLO;24D01C05S01;SAN PABLO 1;SANTA ELENA;24;SANTA ELENA;2401;-2,220070;-80,846990;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;10:31;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;37;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 1;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI CENTRO;21D04C02S01;SHUSHUFINDI CENTRO 1;SUCUMBÍOS;21;SHUSHUFINDI;2104;-0,191130;-76,653390;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;3:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;35;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;BACHILLERATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;MANTA;MARIA AUXILIADORA;13D02C08S03;MARIA AUXILIADORA 3;MANABÍ;13;MANTA;1308;-0,971320;-80,712210;URBANO;CASA/VILLA;PRIVADO;05/05/2024;19:20;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;40;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO;BACHILLERATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;MANTA;MARIA AUXILIADORA;13D02C08S03;MARIA AUXILIADORA 3;MANABÍ;13;MANTA;1308;-0,971320;-80,712210;URBANO;CASA/VILLA;PRIVADO;05/05/2024;19:20;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;30;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SECUNDARIA;SIN_DATO
ASESINATO;ZONA 4;MANABI;PORTOVIEJO;SAN PABLO;13D01C05S02;SAN PABLO 2;MANABÍ;13;PORTOVIEJO;1301;-1,048380;-80,447890;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;23:20;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;35;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;OBRERO;BASICA;SIN_DATO
HOMICIDIO;ZONA 2;NAPO;TENA;AEROPUERTO;15D01C04S01;AEROPUERTO 1;NAPO;15;TENA;1501;-0,991790;-77,819330;URBANO;BARES;PRIVADO;06/05/2024;0:50;ARMA BLANCA;CUCHILLO            ;VIOLENCIA COMUNITARIA;RIÑAS;HERIDA POR ARMA BLANCA;26;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;BACHILL. EN CIENCIAS;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;GUAYAS;NARANJAL BALAO;NARANJAL CENTRO;09D12C03S01;NARANJAL CENTRO 1;GUAYAS;9;NARANJAL;911;-2,671280;-79,617010;URBANO;VIA PUBLICA;PUBLICO;06/05/2024;0:15;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;AGRICULTOR;SIN_DATO;SIN_DATO
HOMICIDIO;ZONA 7;LOJA;SABANILLA;ALAMOR;11D04C04S01;ALAMOR 1;LOJA;11;PUYANGO;1110;-4,020490;-80,035590;RURAL;CASA/VILLA;PRIVADO;04/05/2024;15:40;CONSTRICTORA;CUERDA;DELINCUENCIA COMUN;ROBO A DOMICILIOS;ESTRANGULACION;77;A;HOMBRE;MASCULINO;MESTIZO/A;DIVORCIADO;ECUADOR;NINGUNA;AGRICULTOR;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;MANTA;MURCIELAGO;13D02C06S01;MURCIELAGO 1;MANABÍ;13;MANTA;1308;-0,945010;-80,731790;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;0:05;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;20;A;HOMBRE;MASCULINO;MULATO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;DURAN;RECREO;09D24C05S07;RECREO 7;GUAYAS;9;DURAN;907;-2,161740;-79,813440;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;17:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;18;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;DURAN;RECREO;09D24C05S07;RECREO 7;GUAYAS;9;DURAN;907;-2,161740;-79,813440;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;17:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;24;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;DURAN;RECREO;09D24C05S07;RECREO 7;GUAYAS;9;DURAN;907;-2,161740;-79,813440;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;17:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;16;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;NINGUNA;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;PASCUALES;PASCUALES;09D07C06S02;PASCUALES 2;GUAYAS;9;GUAYAQUIL;901;-2,075170;-79,924330;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;19:50;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MASCULINO;AFRO;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 5;LOS RIOS;BABAHOYO;CARACOL;12D01C13S01;CARACOL 1;LOS RÍOS;12;BABAHOYO;1201;-1,675790;-79,451550;RURAL;VIA PUBLICA;PUBLICO;06/05/2024;6:30;ARMA DE FUEGO;OTROS ARMA CORTA;DELINCUENCIA COMUN;ROBO A PERSONAS;HERIDA POR ARMA DE FUEGO;36;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;EMPLEADO;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;SUR;GUASMO;09D01C01S01;GUASMO 1;GUAYAS;9;GUAYAQUIL;901;-2,280960;-79,877150;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;20:30;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;26;A;HOMBRE;MASCULINO;BLANCO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;NUEVA PROSPERINA;FORTIN;09D08C02S01;FORTIN 1;GUAYAS;9;GUAYAQUIL;901;-2,117090;-79,953190;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;21:49;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;21;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
ASESINATO;ZONA 8;D.M. GUAYAQUIL;NUEVA PROSPERINA;FORTIN;09D08C02S01;FORTIN 1;GUAYAS;9;GUAYAQUIL;901;-2,117090;-79,953190;URBANO;VIA PUBLICA;PUBLICO;05/05/2024;21:50;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;AMENAZA;HERIDA POR ARMA DE FUEGO;27;A;MUJER;FEMENINO;MULATO/A;SOLTERO;ECUADOR;NINGUNA;BACHILLER;SIN_DATO;SIN_DATO
ASESINATO;ZONA 4;MANABI;PORTOVIEJO;NUEVO PORTOVIEJO;13D01C02S02;NUEVO PORTOVIEJO 2;MANABÍ;13;PORTOVIEJO;1301;-1,076430;-80,439300;URBANO;VIA PUBLICA;PUBLICO;06/05/2024;14:00;ARMA DE FUEGO;PISTOLA             ;DELINCUENCIA COMUN;TRAFICO INTERNOS DE DROGAS (MICROTRAFICO);HERIDA POR ARMA DE FUEGO;29;A;HOMBRE;MASCULINO;MESTIZO/A;SOLTERO;ECUADOR;NINGUNA;ESTUDIANTE;SIN_DATO;SIN_DATO
