codigo_iccs;subtipo_objeto_robado;nombre_objeto;cantidad;calibre;clase_arma;calidad_de;fabricacion;fecha_evento;hora_evento;tipo_lugar;lugar;codigo_zona;codigo_distrito;codigo_circuito;codigo_subcircuito;nombre_zona;nombre_distrito;nombre_circuito;nombre_subcircuito;codigo_provincia;codigo_canton;codigo_parroquia;nombre_provincia;nombre_canton;nombre_parroquia;tipo_delito;delito;modalidad
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;TIRO A TIRO;APREHENDIDO;ARTESANAL;04/01/2024;19:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D03;21D03C03;21D03C03S01;ZONA 1;PUTUMAYO;PALMA ROJA;PALMA ROJA 1;21;2103;210351;SUCUMBIOS;PUTUMAYO;PALMA ROJA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;ARTESANAL;04/01/2024;11:20;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D07;09D07C07;09D07C07S05;ZONA 8;PASCUALES;SAN FRANCISCO;SAN FRANCISCO 5;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;SACA PINTAS
05.02.004;ARMA DE FUEGO;CARABINAS;1;OTRO;SE DESCONOCE;ABANDONADO;ARTESANAL;04/01/2024;13:40;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;21D04;21D04C01;21D04C01S01;ZONA 1;SHUSHUFINDI;LA PRIMAVERA;LA PRIMAVERA 1;21;2104;210450;SUCUMBIOS;SHUSHUFINDI;SHUSHUFINDI;DELITOS CONTRA LA SEGURIDAD PÚBLICA;ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS;SIN_DATO
05.02.007;ARMA DE FUEGO;ESCOPETA;1;OTRO;TIRO A TIRO;ABANDONADO;ARTESANAL;04/01/2024;18:00;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;09D19;09D19C09;09D19C09S01;ZONA 5;DAULE;PORVENIR;PORVENIR 1;9;918;91850;GUAYAS;SANTA LUCIA;SANTA LUCIA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.006;ARMA DE FUEGO;CARTUCHERAS;1;OTRO;TIRO A TIRO;ABANDONADO;ARTESANAL;04/01/2024;18:20;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;09D13;09D13C09;09D13C09S02;ZONA 5;BALZAR;PALESTINA;PALESTINA 2;9;913;91350;GUAYAS;PALESTINA;PALESTINA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;ARMAS DE FUEGO, MUNICIONES Y EXPLOSIVOS NO AUTORIZADOS;SIN_DATO
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.22;TIRO A TIRO;APREHENDIDO;IMPORTADA;05/01/2024;10:30;VIVIENDA/ALOJAMIENTO;CASA/VILLA;ZONA 5;24D02;24D02C04;24D02C04S01;ZONA 5;LIBERTAD SALINAS;ENRIQUEZ GALLO;ENRIQUEZ GALLO 1;24;2402;240250;SANTA ELENA;LA LIBERTAD;LA LIBERTAD;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO DE MOTOS;ASALTO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;05/01/2024;17:25;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 8;09D01;09D01C02;09D01C02S03;ZONA 8;SUR;UNION DE BANANEROS;UNION DE BANANEROS 3;9;901;90150;GUAYAS;GUAYAQUIL;GUAYAQUIL;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;EXTORSIÓN;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;.22;SEMI AUTOMÁTICO;APREHENDIDO;IMPORTADA;06/01/2024;2:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 1;08D01;08D01C20;08D01C20S01;ZONA 1;ESMERALDAS;CAMARONES;CAMARONES 1;8;801;80166;ESMERALDAS;ESMERALDAS;TACHINA;DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
05.02.013;ARMA DE FUEGO;PISTOLAS;1;9 mm;SEMI AUTOMÁTICO;RETENIDO;IMPORTADA;05/01/2024;15:45;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 5;12D03;12D03C05;12D03C05S02;ZONA 5;QUEVEDO;GALO PLAZA;GALO PLAZA 2;12;1205;120550;LOS RIOS;QUEVEDO;QUEVEDO;DELITOS CONTRA EL DERECHO A LA PROPIEDAD;ROBO A PERSONAS;ASALTO
05.02.015;ARMA DE FUEGO;REVÓLVERES;1;.38;SE DESCONOCE;APREHENDIDO;IMPORTADA;06/01/2024;10:30;ÁREAS DE ACCESO PUBLICO;VÍA PÚBLICA;ZONA 6;01D06;01D06C02;01D06C02S02;ZONA 6;PAUTE;PAUTE;PAUTE 2;1;105;10553;AZUAY;PAUTE;CHICAN (GUILLERMO ORTEGA);DELITOS CONTRA LA SEGURIDAD PÚBLICA;TENENCIA Y PORTE DE ARMAS;SIN_DATO
